Camp Code,test,Start Date (DD-MM-YYYY),End Date (DD-MM-YYYY),Activity Status 
2024/TND/GBG /055,19-10-2024,19-10-2024 10:00:00,19-10-2024,19-10-2024 16:00:00,Completed
2024/TND/GBG /067,06-10-2024,06-10-2024 10:00:00,06-10-2024,06-10-2024 16:00:00,Completed
2024/TND/GBG /031,17-08-2024,17-08-2024 10:00:00,17-08-2024,17-08-2024 16:00:00,Completed
2024/TND/GBG /060,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/GBG /061,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/GBG /044,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/TND/GBG /058,23-10-2024,23-10-2024 10:00:00,23-10-2024,23-10-2024 16:00:00,Completed
2024/TND/GBG /043,29-10-2024,29-10-2024 10:00:00,29-10-2024,29-10-2024 16:00:00,Completed
2025/TND/GBG /084,01-02-2025,01-02-2025 10:00:00,01-02-2025,01-02-2025 16:00:00,Completed
2024/TND/GBG /059,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/DEL/GBG /038,09-11-2024,09-11-2024 10:00:00,31-12-2024,09-11-2024 16:00:00,Completed
2024/TND/GBG /039,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2025/TND/GBG /080,25-01-2025,25-01-2025 10:00:00,26-01-2025,25-01-2025 16:00:00,Completed
2024/TND/GBG /069,02-10-2024,02-10-2024 10:00:00,02-10-2024,02-10-2024 16:00:00,Completed
2024/TND/GBG /051,20-10-2024,20-10-2024 10:00:00,20-10-2024,20-10-2024 16:00:00,Completed
2024/TND/GBG /047,25-10-2024,25-10-2024 10:00:00,26-10-2024,25-10-2024 16:00:00,Completed
2024/TND/GBG /033,25-08-2024,25-08-2024 10:00:00,25-08-2024,25-08-2024 16:00:00,Completed
2024/TND/GBG /065,27-10-2024,27-10-2024 10:00:00,27-10-2024,27-10-2024 16:00:00,Completed
2024/UTR/GBG /008,02-10-2024,02-10-2024 10:00:00,02-10-2024,02-10-2024 16:00:00,Completed
2024/TND/GBG /035,29-09-2024,29-09-2024 10:00:00,29-09-2024,29-09-2024 16:00:00,Completed
2024/TND/GBG /076,21-12-2024,21-12-2024 10:00:00,21-12-2024,21-12-2024 16:00:00,Completed
2024/TND/GBG /026,26-07-2024,26-07-2024 10:00:00,27-07-2024,26-07-2024 16:00:00,Completed
